"","sveitarfelag","verd","staerd"
"528","Reykjavíkurborg",95000,65
"529","Reykjavíkurborg",115000,65.3
"530","Hafnarfjarðarkaupstaður",85000,65
"531","Reykjavíkurborg",90000,42.3
"532","Hafnarfjarðarkaupstaður",115000,77.8
"533","Hafnarfjarðarkaupstaður",80000,106
"534","Hafnarfjarðarkaupstaður",130000,112.2
"535","Reykjavíkurborg",65000,22
"536","Hafnarfjarðarkaupstaður",1e+05,109
"537","Reykjavíkurborg",95000,60
"538","Reykjavíkurborg",1e+05,95.2
"539","Reykjavíkurborg",67609,42.1
"540","Reykjavíkurborg",73838,52.4
"541","Hafnarfjarðarkaupstaður",110000,87.7
"542","Hafnarfjarðarkaupstaður",160000,136.4
"543","Kópavogsbær",110500,79.8
"544","Reykjavíkurborg",110000,51.6
"545","Hafnarfjarðarkaupstaður",145000,120
"546","Hafnarfjarðarkaupstaður",115000,99.3
"547","Reykjavíkurborg",128000,97.8
"548","Reykjavíkurborg",120000,74.6
"549","Reykjavíkurborg",74869,45.6
"550","Reykjavíkurborg",110000,61.1
"551","Mosfellsbær",140000,79.2
"552","Reykjavíkurborg",105000,68.9
"553","Kópavogsbær",119000,115.6
"554","Reykjavíkurborg",90000,83.5
"555","Reykjavíkurborg",90000,100
"556","Reykjavíkurborg",115000,73.5
"557","Reykjavíkurborg",95000,60
"558","Reykjavíkurborg",160000,115.1
"559","Reykjavíkurborg",65000,90.2
"560","Reykjavíkurborg",130000,80
"561","Reykjavíkurborg",139772,76
"562","Reykjavíkurborg",120000,71
"563","Reykjavíkurborg",68000,35
"564","Garðabær",105501,75.9
"565","Reykjavíkurborg",110000,61.2
"566","Hafnarfjarðarkaupstaður",137000,119
"567","Reykjavíkurborg",74304,120
"568","Reykjavíkurborg",130000,84
"569","Reykjavíkurborg",125000,51.6
"570","Reykjavíkurborg",75000,65
"571","Reykjavíkurborg",110000,55
"572","Reykjavíkurborg",107000,88
"573","Hafnarfjarðarkaupstaður",120000,93
"574","Reykjavíkurborg",115000,50
"575","Hafnarfjarðarkaupstaður",85000,63
"576","Hafnarfjarðarkaupstaður",210000,212.1
"577","Kópavogsbær",105000,63.1
"578","Reykjavíkurborg",90643,53.2
"579","Reykjavíkurborg",110000,121.6
"580","Reykjavíkurborg",1e+05,80
"581","Reykjavíkurborg",105000,75
"582","Reykjavíkurborg",85000,80
"583","Reykjavíkurborg",73838,52.1
"584","Kópavogsbær",75500,56
"585","Reykjavíkurborg",65000,33
"586","Hafnarfjarðarkaupstaður",117500,110
"587","Hafnarfjarðarkaupstaður",140000,105.5
"588","Hafnarfjarðarkaupstaður",135000,92.4
"589","Garðabær",84747,54.2
"590","Hafnarfjarðarkaupstaður",90000,73.1
"591","Reykjavíkurborg",145000,89.3
"592","Reykjavíkurborg",86366,50.1
"593","Reykjavíkurborg",130000,97
"594","Reykjavíkurborg",1e+05,69.9
"595","Reykjavíkurborg",80898,60
"596","Reykjavíkurborg",120000,76.3
"597","Hafnarfjarðarkaupstaður",70000,57
"598","Reykjavíkurborg",160000,120
"599","Reykjavíkurborg",80150,58.3
"600","Reykjavíkurborg",122000,70
"601","Reykjavíkurborg",150000,143.2
"602","Reykjavíkurborg",150000,97
"603","Reykjavíkurborg",150000,143.2
"604","Reykjavíkurborg",90000,65
"605","Reykjavíkurborg",86650,59.9
"606","Reykjavíkurborg",80000,80
"607","Hafnarfjarðarkaupstaður",145000,114.3
"608","Kópavogsbær",92000,57.7
"609","Reykjavíkurborg",154756,130
"610","Hafnarfjarðarkaupstaður",115000,89.7
"611","Kópavogsbær",140000,115
"612","Reykjavíkurborg",90000,69.2
"613","Kópavogsbær",1e+05,62.1
"614","Reykjavíkurborg",1e+05,64.6
"615","Reykjavíkurborg",125000,83.3
"616","Reykjavíkurborg",97800,57.9
"617","Reykjavíkurborg",68000,35
"618","Reykjavíkurborg",75000,57.9
"619","Reykjavíkurborg",115000,57.3
"620","Reykjavíkurborg",70411,38.8
"621","Reykjavíkurborg",110000,95.7
"622","Reykjavíkurborg",110000,82
"623","Hafnarfjarðarkaupstaður",75000,43.9
"624","Reykjavíkurborg",110000,60.1
"625","Reykjavíkurborg",125000,91
"626","Garðabær",105000,83.5
"627","Reykjavíkurborg",75000,57.9
"628","Reykjavíkurborg",67609,42.1
"629","Reykjavíkurborg",94619,60.2
"630","Reykjavíkurborg",102000,70.3
